symbol,market,sector_official,industry_group,industry,source
1301.TW,tw,塑膠工業,塑膠工業,塑膠工業,TWSE OpenAPI t187ap03_L
1308.TW,tw,塑膠工業,塑膠工業,塑膠工業,TWSE OpenAPI t187ap03_L
1319.TW,tw,汽車工業,汽車工業,汽車工業,TWSE OpenAPI t187ap03_L
1326.TW,tw,塑膠工業,塑膠工業,塑膠工業,TWSE OpenAPI t187ap03_L
1476.TW,tw,紡織纖維,紡織纖維,紡織纖維,TWSE OpenAPI t187ap03_L
1477.TW,tw,紡織纖維,紡織纖維,紡織纖維,TWSE OpenAPI t187ap03_L
1503.TW,tw,電機機械,電機機械,電機機械,TWSE OpenAPI t187ap03_L
1513.TW,tw,電機機械,電機機械,電機機械,TWSE OpenAPI t187ap03_L
1514.TW,tw,電機機械,電機機械,電機機械,TWSE OpenAPI t187ap03_L
1519.TW,tw,電機機械,電機機械,電機機械,TWSE OpenAPI t187ap03_L
1560.TW,tw,電機機械,電機機械,電機機械,TWSE OpenAPI t187ap03_L
1590.TW,tw,電機機械,電機機械,電機機械,TWSE OpenAPI t187ap03_L
1723.TW,tw,化學工業,化學工業,化學工業,TWSE OpenAPI t187ap03_L
1795.TW,tw,生技醫療業,生技醫療業,生技醫療業,TWSE OpenAPI t187ap03_L
1802.TW,tw,玻璃陶瓷,玻璃陶瓷,玻璃陶瓷,TWSE OpenAPI t187ap03_L
2006.TW,tw,鋼鐵工業,鋼鐵工業,鋼鐵工業,TWSE OpenAPI t187ap03_L
2027.TW,tw,鋼鐵工業,鋼鐵工業,鋼鐵工業,TWSE OpenAPI t187ap03_L
2049.TW,tw,電機機械,電機機械,電機機械,TWSE OpenAPI t187ap03_L
2059.TW,tw,電子零組件業,電子零組件業,電子零組件業,TWSE OpenAPI t187ap03_L
2101.TW,tw,橡膠工業,橡膠工業,橡膠工業,TWSE OpenAPI t187ap03_L
2301.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
2303.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
2308.TW,tw,電子零組件業,電子零組件業,電子零組件業,TWSE OpenAPI t187ap03_L
2313.TW,tw,電子零組件業,電子零組件業,電子零組件業,TWSE OpenAPI t187ap03_L
2317.TW,tw,其他電子業,其他電子業,其他電子業,TWSE OpenAPI t187ap03_L
2327.TW,tw,電子零組件業,電子零組件業,電子零組件業,TWSE OpenAPI t187ap03_L
2330.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
2337.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
2344.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
2345.TW,tw,通信網路業,通信網路業,通信網路業,TWSE OpenAPI t187ap03_L
2347.TW,tw,電子通路業,電子通路業,電子通路業,TWSE OpenAPI t187ap03_L
2351.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
2353.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
2356.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
2357.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
2360.TW,tw,其他電子業,其他電子業,其他電子業,TWSE OpenAPI t187ap03_L
2368.TW,tw,電子零組件業,電子零組件業,電子零組件業,TWSE OpenAPI t187ap03_L
2376.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
2377.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
2379.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
2382.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
2383.TW,tw,電子零組件業,電子零組件業,電子零組件業,TWSE OpenAPI t187ap03_L
2385.TW,tw,電子零組件業,電子零組件業,電子零組件業,TWSE OpenAPI t187ap03_L
2395.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
2408.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
2409.TW,tw,光電業,光電業,光電業,TWSE OpenAPI t187ap03_L
2412.TW,tw,通信網路業,通信網路業,通信網路業,TWSE OpenAPI t187ap03_L
2436.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
2449.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
