symbol,market,name,tradingview_symbol
2330.TW,tw,TSMC,TWSE:2330
AAOI,us,Applied Optoelectronics,NASDAQ:AAOI
AAPL,us,Apple,NASDAQ:AAPL
ABNB,us,Airbnb,NASDAQ:ABNB
ADBE,us,Adobe,NASDAQ:ADBE
ADI,us,Analog Devices,NASDAQ:ADI
ALAB,us,Astera Labs,NASDAQ:ALAB
AMAT,us,Applied Materials,NASDAQ:AMAT
AMD,us,AMD,NASDAQ:AMD
AMKR,us,Amkor Technology,NASDAQ:AMKR
AMZN,us,Amazon,NASDAQ:AMZN
APP,us,AppLovin,NASDAQ:APP
ARM,us,Arm Holdings,NASDAQ:ARM
ASML,us,ASML,NASDAQ:ASML
AVGO,us,Broadcom,NASDAQ:AVGO
BA,us,Boeing,NYSE:BA
BE,us,Bloom Energy,NYSE:BE
CAT,us,Caterpillar,NYSE:CAT
CIEN,us,Ciena,NYSE:CIEN
CLS,us,Celestica,NYSE:CLS
COHR,us,Coherent,NYSE:COHR
COIN,us,Coinbase,NASDAQ:COIN
COST,us,Costco,NASDAQ:COST
CRM,us,Salesforce,NYSE:CRM
CRWD,us,CrowdStrike,NASDAQ:CRWD
CRWV,us,CoreWeave,NASDAQ:CRWV
CSCO,us,Cisco,NASDAQ:CSCO
DDOG,us,Datadog,NASDAQ:DDOG
DELL,us,Dell Technologies,NYSE:DELL
EXPE,us,Expedia,NASDAQ:EXPE
GE,us,GE Aerospace,NYSE:GE
GEV,us,GE Vernova,NYSE:GEV
GOOG,us,Alphabet C,NASDAQ:GOOG
HOOD,us,Robinhood,NASDAQ:HOOD
IBM,us,IBM,NYSE:IBM
INTC,us,Intel,NASDAQ:INTC
ISRG,us,Intuitive Surgical,NASDAQ:ISRG
JNJ,us,Johnson & Johnson,NYSE:JNJ
JPM,us,JPMorgan Chase,NYSE:JPM
KO,us,Coca-Cola,NYSE:KO
LITE,us,Lumentum,NASDAQ:LITE
LLY,us,Eli Lilly,NYSE:LLY
LMT,us,Lockheed Martin,NYSE:LMT
LNG,us,Cheniere Energy,NYSE:LNG
LRCX,us,Lam Research,NASDAQ:LRCX
MA,us,Mastercard,NYSE:MA
MAR,us,Marriott,NASDAQ:MAR
MCD,us,McDonald's,NYSE:MCD
MDB,us,MongoDB,NASDAQ:MDB
META,us,Meta Platforms,NASDAQ:META
MMM,us,3M,NYSE:MMM
MRVL,us,Marvell Technology,NASDAQ:MRVL
MSFT,us,Microsoft,NASDAQ:MSFT
MU,us,Micron Technology,NASDAQ:MU
NET,us,Cloudflare,NYSE:NET
NFLX,us,Netflix,NASDAQ:NFLX
NOW,us,ServiceNow,NYSE:NOW
NVDA,us,NVIDIA,NASDAQ:NVDA
NXPI,us,NXP Semiconductors,NASDAQ:NXPI
OKLO,us,Oklo,NYSE:OKLO
OKTA,us,Okta,NASDAQ:OKTA
ON,us,onsemi,NASDAQ:ON
ONDS,us,Ondas Holdings,NASDAQ:ONDS
ORCL,us,Oracle,NYSE:ORCL
PLTR,us,Palantir,NASDAQ:PLTR
QCOM,us,Qualcomm,NASDAQ:QCOM
RKLB,us,Rocket Lab,NASDAQ:RKLB
RTX,us,RTX,NYSE:RTX
SHOP,us,Shopify,NYSE:SHOP
SNDK,us,SanDisk,NASDAQ:SNDK
SNOW,us,Snowflake,NYSE:SNOW
SPOT,us,Spotify,NYSE:SPOT
TSLA,us,Tesla,NASDAQ:TSLA
TSM,us,Taiwan Semiconductor ADR,NYSE:TSM
TXN,us,Texas Instruments,NASDAQ:TXN
U,us,Unity Software,NYSE:U
UBER,us,Uber,NYSE:UBER
UNH,us,UnitedHealth,NYSE:UNH
V,us,Visa,NYSE:V
VRT,us,Vertiv,NYSE:VRT
WDAY,us,Workday,NASDAQ:WDAY
WMT,us,Walmart,NYSE:WMT
XYZ,us,Block,NYSE:XYZ
