symbol,market,date,gap_type,gap_size,vol_ratio,vol_confirmed,makes_new_high,fast_filled,unfilled_10d,excess10,excess20,excess60,post20,post60
1301.TW,tw,2018-10-11,down,0.0224,2.22,True,False,False,False,-0.0182,-0.0284,0.0106,0.023,0.0263
1301.TW,tw,2019-09-16,up,0.0104,2.59,True,True,False,False,-0.051,-0.0587,-0.1469,-0.0166,-0.0799
1301.TW,tw,2020-01-30,down,0.0314,3.89,True,False,False,False,-0.0048,0.0002,-0.0221,-0.0226,-0.0107
1301.TW,tw,2020-03-09,down,0.0121,2.36,True,False,False,False,-0.0778,-0.0269,-0.0484,0.064,0.0367
1301.TW,tw,2020-03-13,down,0.0191,2.47,True,False,False,False,-0.0189,0.0205,-0.0075,0.0294,-0.0049
1301.TW,tw,2020-03-19,down,0.0371,2.35,True,False,False,False,0.0412,0.0264,-0.0041,0.0233,-0.0505
1301.TW,tw,2020-03-24,up,0.0162,0.92,False,False,False,True,0.0759,0.0509,0.0204,0.0076,-0.099
1301.TW,tw,2020-03-25,up,0.0225,1.05,False,False,False,True,0.0616,0.0154,0.0001,-0.0041,-0.1303
1301.TW,tw,2020-06-03,up,0.0107,0.95,False,False,False,True,-0.0242,-0.0354,-0.2362,-0.1028,-0.2036
1301.TW,tw,2024-08-05,down,0.0175,1.95,True,False,False,False,-0.2043,-0.2177,-0.3614,-0.049,-0.1323
1301.TW,tw,2024-09-04,down,0.0291,2.4,True,False,False,False,-0.019,0.012,-0.2605,-0.1333,-0.3083
1301.TW,tw,2025-04-07,down,0.074,0.25,False,False,False,False,0.0046,-0.0272,-0.182,-0.0735,-0.2335
1301.TW,tw,2025-08-04,down,0.0572,1.95,True,False,False,False,0.0182,0.0015,-0.268,-0.1163,-0.1044
1303.TW,tw,2018-02-09,down,0.0103,1.74,True,False,False,False,0.0042,0.0254,0.1081,0.0331,0.0841
1303.TW,tw,2018-10-11,down,0.0184,2.94,True,False,False,False,-0.003,-0.003,0.0314,0.0352,0.0138
1303.TW,tw,2020-01-30,down,0.0179,3.92,True,False,False,False,-0.0135,-0.0006,-0.0459,-0.0007,0.0007
1303.TW,tw,2020-02-04,up,0.0101,1.24,False,False,True,False,-0.005,-0.0031,-0.0103,-0.0521,-0.0202
1303.TW,tw,2020-03-09,down,0.0118,2.35,True,False,False,False,-0.0876,-0.0469,-0.0355,0.0312,0.0784
1303.TW,tw,2020-03-13,down,0.033,2.84,True,False,False,False,-0.0401,-0.0206,-0.0189,0.0069,-0.0113
1303.TW,tw,2020-03-17,down,0.0102,2.24,True,False,False,False,-0.0406,-0.0098,-0.013,0.0875,0.0004
1303.TW,tw,2020-03-19,down,0.0291,2.39,True,False,False,False,0.0451,0.0514,0.0752,0.0713,-0.0049
1303.TW,tw,2020-03-24,up,0.011,0.89,False,False,False,True,0.0565,0.0226,0.0374,0.0372,-0.0392
1303.TW,tw,2020-03-25,up,0.0229,0.77,False,False,False,True,0.0166,-0.0294,-0.0026,0.0337,-0.0526
1303.TW,tw,2021-09-22,down,0.0123,1.77,True,False,False,False,0.0615,0.0309,-0.088,-0.0781,-0.1451
1303.TW,tw,2022-07-06,down,0.0424,3.52,True,False,False,False,-0.1289,-0.0766,-0.0003,0.0547,0.1272
1303.TW,tw,2022-07-12,down,0.011,1.92,True,False,False,False,0.0118,-0.0014,0.1306,0.0429,0.1695
1303.TW,tw,2022-08-29,down,0.0142,1.45,False,False,False,False,0.0062,0.0413,0.1188,0.0824,0.1051
1303.TW,tw,2023-08-16,down,0.0103,1.38,False,False,False,False,-0.0131,0.0117,-0.0689,0.0233,-0.0252
1303.TW,tw,2024-08-05,down,0.0187,1.69,True,False,False,False,-0.1471,-0.1729,-0.3057,-0.0649,-0.1264
1303.TW,tw,2024-09-04,down,0.0209,2.44,True,False,False,False,0.0085,0.0235,-0.1858,-0.1325,-0.3176
1303.TW,tw,2025-04-07,down,0.0671,1.17,False,False,False,False,0.0606,0.0441,-0.2268,-0.0934,-0.3477
1303.TW,tw,2025-11-13,up,0.0181,5.02,True,True,False,True,0.0605,0.1062,0.2575,-0.0173,0.1981
1303.TW,tw,2025-11-28,up,0.0178,1.91,True,True,False,True,0.018,-0.0516,0.145,-0.0963,0.07
1303.TW,tw,2026-01-07,up,0.0101,2.82,True,True,False,True,0.1105,0.141,0.1461,0.0803,-0.038
1303.TW,tw,2026-01-08,up,0.0201,3.18,True,True,True,False,0.1225,0.0703,0.1211,-0.0043,-0.1088
1303.TW,tw,2026-01-16,up,0.0129,3.2,True,True,False,True,0.0059,0.112,-0.103,0.0085,-0.1292
1303.TW,tw,2026-01-19,up,0.0108,2.75,True,True,True,False,-0.1096,0.0624,-0.1933,0.0264,-0.0925
1303.TW,tw,2026-03-09,down,0.043,0.63,False,False,False,False,-0.0129,0.0724,0.0564,0.0484,0.4384
1303.TW,tw,2026-03-16,up,0.0141,1.54,True,False,False,False,-0.065,-0.1209,-0.2344,-0.1027,0.4231
1303.TW,tw,2026-03-23,down,0.0141,0.66,False,False,False,False,0.0864,0.0484,0.4384,-0.1725,
1308.TW,tw,2018-12-04,up,0.015,3.61,True,False,False,True,-0.0188,-0.0222,0.0018,0.0266,-0.0224
1308.TW,tw,2019-07-25,up,0.0143,2.55,True,True,False,True,0.0797,0.1387,0.0245,0.0017,-0.0499
1308.TW,tw,2020-01-30,down,0.0224,4.37,True,False,False,False,-0.0501,-0.0344,0.1847,0.096,0.2611
1308.TW,tw,2020-03-06,up,0.0241,5.82,True,True,True,False,0.0324,0.0715,0.2409,0.0411,0.2686
1308.TW,tw,2020-03-13,down,0.0105,2.73,True,False,False,False,0.0293,0.0899,0.2298,0.1091,0.2463
1308.TW,tw,2020-03-19,down,0.0115,1.9,True,False,False,False,0.0131,0.015,0.2636,0.1445,0.1777
1308.TW,tw,2020-03-25,up,0.0148,0.86,False,False,True,False,0.0518,0.0891,0.2812,0.0852,0.1122
1308.TW,tw,2020-04-23,up,0.0264,3.01,True,True,False,True,0.046,0.0759,0.0085,0.034,-0.1645
1308.TW,tw,2020-06-22,up,0.0287,2.93,True,True,False,False,-0.0811,-0.1293,-0.1587,-0.1691,-0.1082
1308.TW,tw,2020-07-23,up,0.0129,1.56,True,True,True,False,-0.1453,-0.0586,-0.0778,0.0998,0.1526
1308.TW,tw,2020-09-17,up,0.0155,4.45,True,True,False,False,-0.1301,-0.1366,-0.1867,0.072,0.0275
1308.TW,tw,2021-05-31,up,0.0114,1.27,False,False,False,True,-0.0018,0.0355,0.1367,0.0959,0.1936
1308.TW,tw,2021-07-01,up,0.0686,1.64,True,True,False,True,-0.037,-0.0557,0.3373,-0.0051,0.3277
1308.TW,tw,2021-09-27,up,0.0129,2.39,True,True,False,False,-0.0229,-0.178,-0.2706,-0.1773,-0.3426
1308.TW,tw,2022-04-27,down,0.0222,1.42,False,False,False,False,-0.1843,-0.149,-0.1168,0.0547,0.0259
1308.TW,tw,2022-05-06,down,0.0812,6.63,True,False,False,False,-0.0957,-0.1169,-0.0481,0.0101,0.0547
1308.TW,tw,2022-05-09,down,0.029,2.91,True,False,False,False,-0.0265,-0.0246,0.0348,0.032,0.0563
1308.TW,tw,2022-05-10,down,0.0102,1.75,True,False,False,False,-0.0132,-0.0232,0.017,0.0254,0.0655
1308.TW,tw,2022-08-29,down,0.0231,1.22,False,False,False,False,0.0788,0.1202,-0.0067,-0.0103,-0.0345
1308.TW,tw,2022-09-08,up,0.0132,1.73,True,False,False,True,0.0911,0.0766,0.0007,-0.0549,-0.0859
1308.TW,tw,2022-10-11,down,0.0289,1.95,True,False,False,False,-0.0036,0.0186,0.0149,-0.0925,-0.0705
