label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,case,market,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days
penalty_score_lt_20pct+fastfill,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1329384.8818439695,32.93848818439695,1.4767364244991033,-29.7804325748818,1020,1001,19,tw_bear_2020,tw,1001,35.764235764235764,0.38089573218152273,-1.0416640205363925,5.637362637362638
penalty_score_lt_20pct,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1321055.5041471468,32.10555041471468,0.8409250228016862,-29.7804325748818,1011,992,19,tw_bear_2020,tw,992,35.78629032258064,0.37002446195973204,-1.0225496298636838,5.738911290322581
baseline_ma5+fastfill,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1281559.5740812942,28.155957408129417,-2.1739415819498675,-29.488361193707835,977,957,20,tw_bear_2020,tw,957,35.214211076280044,0.20990903284804616,-1.1065008866441794,6.067920585161964
fastfill_only,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1263259.0313108095,26.325903131080963,-3.5708879294740092,-39.032070274788076,35,11,24,tw_bear_2020,tw,11,36.36363636363637,11.350440618468628,-5.116273581755193,144.0
baseline_ma5,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1242846.2367037837,24.28462367037838,-5.129070067931418,-30.477024340045013,946,927,19,tw_bear_2020,tw,927,34.84358144552319,0.16140705603675184,-1.1111006922161715,6.209277238403452
penalty_score_lt_20pct,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3323655.147735831,232.36551477358307,56.23269030184221,-24.6354132463915,1743,1715,28,tw_bull_2025_2026,tw,1715,39.416909620991255,1.913338060515897,-0.8670502831508164,6.234985422740524
penalty_score_lt_20pct+fastfill,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3289904.1928031663,228.99041928031662,54.646183201977024,-24.513946583423074,1761,1735,26,tw_bull_2025_2026,tw,1735,39.654178674351584,1.886984786477603,-0.8522727272727404,6.115273775216139
baseline_ma5+fastfill,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3285078.9152229456,228.50789152229459,54.41936481550134,-25.108327824856968,1750,1719,31,tw_bull_2025_2026,tw,1719,39.90692262943572,1.904707538587291,-0.8849557522124019,6.639325189063409
baseline_ma5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3273567.6035501705,227.35676035501706,53.878260786473,-25.161125350534718,1728,1695,33,tw_bull_2025_2026,tw,1695,39.35103244837758,1.8704859326460574,-0.9210568788125983,6.783480825958702
fastfill_only,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,1801339.9952203042,80.13399952203042,-15.325693824375042,-34.18387130861218,68,31,37,tw_bull_2025_2026,tw,31,51.61290322580645,35.18325493139793,5.8442656936108506e-06,161.80645161290323
fastfill_only,2021-01-04,2021-12-30,243,1219731.4585319108,21.973145853191077,1503196.3361993898,50.31963361993898,23.23994152029678,-18.600524862804036,37,10,27,tw_choppy_2021,tw,10,70.0,36.62397391938542,6.916721542645298,136.3
penalty_score_lt_20pct,2021-01-04,2021-12-30,243,1219731.4585319108,21.973145853191077,1370544.8568396338,37.054485683963364,12.364475578029644,-12.679532372515023,1265,1238,27,tw_choppy_2021,tw,1238,35.62197092084006,0.16890976675996788,-0.8843293058585,5.114701130856219
penalty_score_lt_20pct+fastfill,2021-01-04,2021-12-30,243,1219731.4585319108,21.973145853191077,1355367.881082728,35.53678810827281,11.120187284016714,-12.995541745992956,1263,1237,26,tw_choppy_2021,tw,1237,35.65076798706548,0.130513088109303,-0.8875919259766496,5.113177041228779
baseline_ma5,2021-01-04,2021-12-30,243,1219731.4585319108,21.973145853191077,1212582.967207877,21.258296720787694,-0.586070915366721,-14.205855311507564,1136,1111,25,tw_choppy_2021,tw,1111,34.74347434743474,-0.09457855697244837,-1.0526231245397089,5.807380738073808
