label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,case,market,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days
penalty_no_ma5_thr10,2019-01-02,2019-12-31,241,1329050.558466918,32.90505584669181,1347789.900208464,34.77899002084639,1.409979599509148,-12.658183120181988,772,746,26,bull_2019,tw,746,39.27613941018767,0.8417887160622368,-0.5885780361583326,9.723860589812332
A_baseline_hard_ma5,2019-01-02,2019-12-31,241,1329050.558466918,32.90505584669181,1343052.5855627262,34.30525855627262,1.0535360755545398,-10.762436430380317,1101,1075,26,bull_2019,tw,1075,39.348837209302324,0.5657294828069535,-0.5580653508506339,6.329302325581395
penalty_ma5only_03_thr10,2019-01-02,2019-12-31,241,1329050.558466918,32.90505584669181,1338332.47124619,33.83324712461899,0.6983867333067106,-11.175120821279005,841,815,26,bull_2019,tw,815,39.38650306748466,0.7959972108198399,-0.5859285976348882,8.92883435582822
penalty_v2_ma5_03_ma10_15_thr10,2019-01-02,2019-12-31,241,1329050.558466918,32.90505584669181,1332747.6446774849,33.27476446774848,0.2781749864227523,-11.273878749473399,862,836,26,bull_2019,tw,836,38.516746411483254,0.7025049842759596,-0.5957467545610662,8.5933014354067
penalty_ma5_05_ma10_15_thr10,2019-01-02,2019-12-31,241,1329050.558466918,32.90505584669181,1306927.6750070797,30.692767500707973,-1.6645629708291532,-12.285837408833212,873,848,25,bull_2019,tw,848,37.971698113207545,0.6119581322208193,-0.6465686568142948,8.310141509433961
penalty_v2_ma5_03_ma10_15_thr20,2019-01-02,2019-12-31,241,1329050.558466918,32.90505584669181,1270540.373105609,27.054037310560908,-4.402404783517144,-11.09629881261286,1112,1089,23,bull_2019,tw,1089,38.47566574839302,0.48020226865304716,-0.5555600364473556,5.96969696969697
penalty_ma5_05_ma10_15_thr20,2019-01-02,2019-12-31,241,1329050.558466918,32.90505584669181,1265579.7940835466,26.55797940835467,-4.775647094764102,-11.617918581419328,1207,1185,22,bull_2019,tw,1185,38.9873417721519,0.3963132947741834,-0.5154740927151291,5.372151898734177
penalty_no_ma5_thr20,2019-01-02,2019-12-31,241,1329050.558466918,32.90505584669181,1262651.0478950415,26.265104789504147,-4.996010885279601,-11.238446163953897,1105,1082,23,bull_2019,tw,1082,38.262476894639555,0.44510792337429367,-0.556341021418183,5.975046210720887
penalty_ma5only_03_thr20,2019-01-02,2019-12-31,241,1329050.558466918,32.90505584669181,1262651.0478950415,26.265104789504147,-4.996010885279601,-11.238446163953897,1105,1082,23,bull_2019,tw,1082,38.262476894639555,0.44510792337429367,-0.556341021418183,5.975046210720887
penalty_ma5only_03_thr10,2023-01-03,2024-12-31,481,1905813.344493138,90.5813344493138,2574104.5484869163,157.41045484869164,35.06593160997697,-18.835956009316057,2163,2141,22,bull_2023_2024,tw,2141,36.89864549276039,1.1352243005891418,-0.9602270158758364,7.921531994395142
A_baseline_hard_ma5,2023-01-03,2024-12-31,481,1905813.344493138,90.5813344493138,2569353.020054574,156.9353020054574,34.816613992064816,-19.63154816153442,2682,2667,15,bull_2023_2024,tw,2667,38.095238095238095,0.9242426663310108,-0.8368197726756343,6.03862017247844
penalty_v2_ma5_03_ma10_15_thr10,2023-01-03,2024-12-31,481,1905813.344493138,90.5813344493138,2557162.6073484095,155.71626073484092,34.176970411994965,-18.771929190152605,2186,2165,21,bull_2023_2024,tw,2165,36.72055427251732,1.1154030702526465,-0.947866354704685,7.771824480369515
penalty_ma5_05_ma10_15_thr20,2023-01-03,2024-12-31,481,1905813.344493138,90.5813344493138,2550065.0143102515,155.00650143102516,33.8045523544414,-19.741065506630463,2901,2888,13,bull_2023_2024,tw,2888,38.88504155124654,0.7972299718411571,-0.7259599692241103,4.987880886426593
penalty_ma5_05_ma10_15_thr10,2023-01-03,2024-12-31,481,1905813.344493138,90.5813344493138,2501572.5072757127,150.1572507275713,31.26010028757671,-18.659865921965533,2215,2194,21,bull_2023_2024,tw,2194,36.91886964448496,1.0713337371060883,-0.9295137611261273,7.593436645396536
penalty_no_ma5_thr10,2023-01-03,2024-12-31,481,1905813.344493138,90.5813344493138,2491255.055649196,149.12550556491956,30.718732915145974,-18.704904015421242,1997,1974,23,bull_2023_2024,tw,1974,36.52482269503546,1.2117467196460927,-1.0130896025594915,8.803951367781155
penalty_v2_ma5_03_ma10_15_thr20,2023-01-03,2024-12-31,481,1905813.344493138,90.5813344493138,2487297.1813771743,148.72971813771744,30.5110591529983,-19.399825694565553,2711,2698,13,bull_2023_2024,tw,2698,38.32468495181616,0.8385330030015761,-0.7633613730412603,5.443291326908821
penalty_no_ma5_thr20,2023-01-03,2024-12-31,481,1905813.344493138,90.5813344493138,2474274.587152747,147.42745871527472,29.82775014679071,-19.389223677241507,2702,2689,13,bull_2023_2024,tw,2689,38.30420230568985,0.8475037622362683,-0.763358994610408,5.460022313127557
penalty_ma5only_03_thr20,2023-01-03,2024-12-31,481,1905813.344493138,90.5813344493138,2474274.587152747,147.42745871527472,29.82775014679071,-19.389223677241507,2702,2689,13,bull_2023_2024,tw,2689,38.30420230568985,0.8475037622362683,-0.763358994610408,5.460022313127557
penalty_ma5only_03_thr10,2019-01-02,2019-12-31,252,1333257.011886717,33.32570118867171,1371033.0336193782,37.10330336193783,2.8333638147684415,-8.367106293552018,523,500,23,bull_2019,us,500,42.8,0.7115311209630442,-0.4806732374427469,10.604
penalty_no_ma5_thr10,2019-01-02,2019-12-31,252,1333257.011886717,33.32570118867171,1355989.2931305459,35.5989293130546,1.7050186904068898,-8.444070326381482,503,480,23,bull_2019,us,480,41.458333333333336,0.6829927860583641,-0.549297155692513,11.116666666666667
penalty_no_ma5_thr20,2019-01-02,2019-12-31,252,1333257.011886717,33.32570118867171,1350523.8283592742,35.05238283592742,1.295085367533333,-7.815619622180492,630,616,14,bull_2019,us,616,41.55844155844156,0.4873708637465491,-0.3545719582793705,8.146103896103897
penalty_v2_ma5_03_ma10_15_thr10,2019-01-02,2019-12-31,252,1333257.011886717,33.32570118867171,1349273.0780062757,34.92730780062756,1.2012737211780422,-8.424247544278995,561,542,19,bull_2019,us,542,41.88191881918819,0.6039440128198857,-0.4806732374427469,9.761992619926199
penalty_ma5_05_ma10_15_thr10,2019-01-02,2019-12-31,252,1333257.011886717,33.32570118867171,1348403.940627072,34.840394062707205,1.1360846862466634,-8.398390597648408,571,555,16,bull_2019,us,555,41.8018018018018,0.5797145313720244,-0.40814706902777553,9.497297297297298
