label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,case,market,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days
penalty_ma5_05_ma10_15_thr20,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1316951.2734233036,31.695127342330352,0.5276343083691071,-28.873312615176594,1063,1047,16,tw_bear_2020,tw,1047,35.62559694364852,0.37927217494781457,-0.9448704524022133,5.298949379178605
penalty_ma5_05_ma10_15_thr10,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1315424.6966105192,31.542469661051918,0.41110520157816577,-29.672698622752392,807,785,22,tw_bear_2020,tw,785,32.611464968152866,0.3136254885958851,-1.2882349969667417,7.657324840764331
penalty_no_ma5_thr20,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1311542.8999036402,31.154289990364028,0.11479367685924835,-29.657059402140117,992,974,18,tw_bear_2020,tw,974,35.318275154004105,0.3921824087804031,-1.054766950663777,5.823408624229979
penalty_ma5only_03_thr20,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1311542.8999036402,31.154289990364028,0.11479367685924835,-29.657059402140117,992,974,18,tw_bear_2020,tw,974,35.318275154004105,0.3921824087804031,-1.054766950663777,5.823408624229979
penalty_ma5only_03_thr10,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1311534.8941302055,31.15348941302054,0.11418256733648491,-29.576249644455288,804,782,22,tw_bear_2020,tw,782,32.608695652173914,0.32442885391719556,-1.3086153692681124,7.8478260869565215
penalty_v2_ma5_03_ma10_15_thr20,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1306859.068883758,30.685906888375804,-0.24274001586801486,-29.71495221271755,1006,988,18,tw_bear_2020,tw,988,35.4251012145749,0.3989202425279649,-1.0073901500738336,5.780364372469635
penalty_v2_ma5_03_ma10_15_thr10,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1302767.2674879157,30.27672674879156,-0.5550819549243302,-29.01629634709956,808,786,22,tw_bear_2020,tw,786,32.69720101781171,0.31215189608880384,-1.2871499984173196,7.7201017811704835
penalty_no_ma5_thr10,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1274653.2019107928,27.46532019107928,-2.7011298462118583,-29.95160466277348,728,706,22,tw_bear_2020,tw,706,32.71954674220963,0.28501005674934354,-1.3179874546526194,8.55240793201133
A_baseline_hard_ma5,2020-01-02,2020-12-31,245,1310039.0579007836,31.003905790078367,1253192.7871910792,25.319278719107928,-4.3392806013581975,-30.345729212321835,949,930,19,tw_bear_2020,tw,930,34.73118279569892,0.18064752710958126,-1.0768368288809282,6.210752688172043
penalty_v2_ma5_03_ma10_15_thr10,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3615636.88040053,261.563688040053,69.95766764922887,-23.381254062879385,1422,1386,36,tw_bull_2025_2026,tw,1386,39.105339105339105,2.6802106567675756,-1.0016724603636673,8.803751803751803
penalty_ma5only_03_thr10,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3549084.0768833943,254.90840768833945,66.82926741562001,-23.4383422355419,1394,1358,36,tw_bull_2025_2026,tw,1358,39.0279823269514,2.711389775903335,-1.0491550573943298,8.997054491899853
