label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,case,strategy,exit,entry_gate,min_ratio,max_positions,active_slot,slope_label,slope_weights
current_rule__short_long_5_240,2022-01-03,2022-12-30,246,785095.5473457449,-21.490445265425507,895420.2970914161,-10.457970290858388,14.052397841085407,-26.712463014938916,283,281,2,tw_bear_downtrend_2022,bear_downtrend,penalty_adjusted_score_lt_20pct,always,0.7,none,50000.0,short_long_5_240,"ma5_up=0.5,ma240_up=1"
current_rule__mid_long_60_120_240,2022-01-03,2022-12-30,246,785095.5473457449,-21.490445265425507,874468.6562583046,-12.553134374169538,11.383723830139235,-24.585479629709695,275,272,3,tw_bear_downtrend_2022,bear_downtrend,penalty_adjusted_score_lt_20pct,always,0.7,none,50000.0,mid_long_60_120_240,"ma60_up=0.75,ma120_up=1,ma240_up=1"
current_rule__no_slope,2022-01-03,2022-12-30,246,785095.5473457449,-21.490445265425507,852264.7438065986,-14.773525619340145,8.555544186683983,-27.774104771401554,278,276,2,tw_bear_downtrend_2022,bear_downtrend,penalty_adjusted_score_lt_20pct,always,0.7,none,50000.0,no_slope,
current_rule__short_ma5_0_5,2022-01-03,2022-12-30,246,785095.5473457449,-21.490445265425507,849435.6147359591,-15.056438526404092,8.195189440028727,-27.65052255320245,285,283,2,tw_bear_downtrend_2022,bear_downtrend,penalty_adjusted_score_lt_20pct,always,0.7,none,50000.0,short_ma5_0_5,ma5_up=0.5
current_rule__long_ma120_1,2022-01-03,2022-12-30,246,785095.5473457449,-21.490445265425507,845937.7149880916,-15.406228501190844,7.749651344736597,-27.7285282282408,305,303,2,tw_bear_downtrend_2022,bear_downtrend,penalty_adjusted_score_lt_20pct,always,0.7,none,50000.0,long_ma120_1,ma120_up=1
current_rule__mid_ma60_0_75,2022-01-03,2022-12-30,246,785095.5473457449,-21.490445265425507,836124.9817960169,-16.38750182039831,6.49977376929376,-27.55619240096302,277,275,2,tw_bear_downtrend_2022,bear_downtrend,penalty_adjusted_score_lt_20pct,always,0.7,none,50000.0,mid_ma60_0_75,ma60_up=0.75
current_rule__short_ma5_1,2022-01-03,2022-12-30,246,785095.5473457449,-21.490445265425507,829688.7335761711,-17.031126642382887,5.6799693210829005,-28.816883101003544,314,312,2,tw_bear_downtrend_2022,bear_downtrend,penalty_adjusted_score_lt_20pct,always,0.7,none,50000.0,short_ma5_1,ma5_up=1
current_rule__mid_ma60_1_5,2022-01-03,2022-12-30,246,785095.5473457449,-21.490445265425507,827020.9737443357,-17.29790262556643,5.340168663589107,-26.32140585876348,258,257,1,tw_bear_downtrend_2022,bear_downtrend,penalty_adjusted_score_lt_20pct,always,0.7,none,50000.0,mid_ma60_1_5,ma60_up=1.5
current_rule__short_mid_long,2022-01-03,2022-12-30,246,785095.5473457449,-21.490445265425507,825803.2919143368,-17.419670808566313,5.185068837317552,-27.730533928450473,284,280,4,tw_bear_downtrend_2022,bear_downtrend,penalty_adjusted_score_lt_20pct,always,0.7,none,50000.0,short_mid_long,"ma5_up=0.5,ma60_up=0.75,ma120_up=1"
current_rule__long_ma240_1,2022-01-03,2022-12-30,246,785095.5473457449,-21.490445265425507,825155.6937816236,-17.484430621837642,5.1025822998632675,-29.153531550176382,294,292,2,tw_bear_downtrend_2022,bear_downtrend,penalty_adjusted_score_lt_20pct,always,0.7,none,50000.0,long_ma240_1,ma240_up=1
