label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,weights
grid_above_all1.5_new_high0.5_trend0.5_volume1.5_obv0.5_relative_strength1.5_macd1,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3332871.489214922,233.2871489214922,56.66591630153708,-91.04678554504656,1754,1722,32,"above_all=4.5,new_high=0.75,trend=0.75,volume=2.25,obv=0.5,relative_strength=3,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1.5_obv1_relative_strength1.5_macd1,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3302178.4221946034,230.21784221946032,55.223149160828825,-95.31734590469759,1803,1771,32,"above_all=4.5,new_high=0.75,trend=0.75,volume=2.25,obv=1,relative_strength=3,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1_obv1_relative_strength1.5_macd1.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3289189.8728509294,228.91898728509292,54.612605672746795,-90.8599417379308,1722,1691,31,"above_all=4.5,new_high=0.75,trend=0.75,volume=1.5,obv=1,relative_strength=3,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1_trend0.5_volume1_obv0.5_relative_strength1.5_macd1,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3281366.44811603,228.13664481160302,54.24485551836031,-94.95709306522318,1716,1685,31,"above_all=4.5,new_high=1.5,trend=0.75,volume=1.5,obv=0.5,relative_strength=3,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1.5_trend1.5_volume1_obv0.5_relative_strength1_macd1.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3273285.7099066707,227.3285709906671,53.86501001274788,-100.0,1805,1765,40,"above_all=4.5,new_high=2.25,trend=2.25,volume=1.5,obv=0.5,relative_strength=2,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1_obv0.5_relative_strength1.5_macd1.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3271205.415938633,227.1205415938633,53.767223115853156,-90.8295167063221,1718,1687,31,"above_all=4.5,new_high=0.75,trend=0.75,volume=1.5,obv=0.5,relative_strength=3,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend1.5_volume1.5_obv0.5_relative_strength1_macd1,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3269050.1663561435,226.90501663561434,53.66591283377602,-99.5026744144502,1794,1762,32,"above_all=4.5,new_high=0.75,trend=2.25,volume=2.25,obv=0.5,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1_obv1_relative_strength0.5_macd0.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3268057.1954413494,226.80571954413494,53.6192369572142,-98.43258712081536,1791,1760,31,"above_all=4.5,new_high=0.75,trend=0.75,volume=1.5,obv=1,relative_strength=1,macd=0.75,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1_trend0.5_volume1.5_obv1.5_relative_strength1_macd1,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3267029.9927602857,226.7029992760286,53.57095197239647,-100.0,1836,1799,37,"above_all=4.5,new_high=1.5,trend=0.75,volume=2.25,obv=1.5,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend1_volume1.5_obv0.5_relative_strength1_macd0.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3264946.0443664966,226.4946044366497,53.47299329451327,-98.44745444729513,1832,1799,33,"above_all=4.5,new_high=0.75,trend=1.5,volume=2.25,obv=0.5,relative_strength=2,macd=0.75,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1_obv1.5_relative_strength1_macd1.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3257351.567619864,225.7351567619864,53.11600513514616,-95.26488951608424,1767,1736,31,"above_all=4.5,new_high=0.75,trend=0.75,volume=1.5,obv=1.5,relative_strength=2,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend1_volume1_obv0.5_relative_strength0.5_macd0.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3256702.6346172765,225.67026346172761,53.08550120368716,-100.0,1778,1745,33,"above_all=4.5,new_high=0.75,trend=1.5,volume=1.5,obv=0.5,relative_strength=1,macd=0.75,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1.5_obv1_relative_strength1_macd0.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3255185.340530101,225.51853405301011,53.014178841203204,-98.31667630772976,1821,1789,32,"above_all=4.5,new_high=0.75,trend=0.75,volume=2.25,obv=1,relative_strength=2,macd=0.75,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1_trend1.5_volume1_obv0.5_relative_strength0.5_macd1.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3253745.4344696077,225.37454344696079,52.94649420257094,-100.0,1791,1756,35,"above_all=4.5,new_high=1.5,trend=2.25,volume=1.5,obv=0.5,relative_strength=1,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1_trend0.5_volume1_obv1_relative_strength1.5_macd1,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3250190.2465901133,225.0190246590113,52.77937801805332,-91.5763488067929,1694,1663,31,"above_all=4.5,new_high=1.5,trend=0.75,volume=1.5,obv=1,relative_strength=3,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend1_volume1.5_obv0.5_relative_strength1_macd1,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3249462.643100658,224.9462643100658,52.7451760790501,-99.71287355557092,1801,1767,34,"above_all=4.5,new_high=0.75,trend=1.5,volume=2.25,obv=0.5,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1_trend1.5_volume1.5_obv0.5_relative_strength1_macd1.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3248580.360970801,224.85803609708012,52.703703271365264,-100.0,1811,1771,40,"above_all=4.5,new_high=1.5,trend=2.25,volume=2.25,obv=0.5,relative_strength=2,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1_obv0.5_relative_strength1_macd0.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3248568.1508124373,224.85681508124372,52.70312931714758,-94.58057716000259,1742,1710,32,"above_all=4.5,new_high=0.75,trend=0.75,volume=1.5,obv=0.5,relative_strength=2,macd=0.75,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend1.5_volume1_obv0.5_relative_strength0.5_macd1,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3247995.0170885297,224.79950170885297,52.676188428394475,-100.0,1795,1762,33,"above_all=4.5,new_high=0.75,trend=2.25,volume=1.5,obv=0.5,relative_strength=1,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend1_volume1.5_obv1.5_relative_strength1_macd1.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3246906.0879891342,224.69060879891342,52.625001913794,-99.26186960252583,1821,1786,35,"above_all=4.5,new_high=0.75,trend=1.5,volume=2.25,obv=1.5,relative_strength=2,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1.5_trend1.5_volume1_obv1_relative_strength0.5_macd0.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3246875.4377183346,224.68754377183348,52.62356115834477,-99.2826536787806,1748,1716,32,"above_all=4.5,new_high=2.25,trend=2.25,volume=1.5,obv=1,relative_strength=1,macd=0.75,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1_trend0.5_volume0.5_obv0.5_relative_strength1.5_macd1.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3246561.511533457,224.65615115334566,52.60880465376183,-92.21308625686194,1691,1660,31,"above_all=4.5,new_high=1.5,trend=0.75,volume=0.75,obv=0.5,relative_strength=3,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1_trend0.5_volume1.5_obv0.5_relative_strength1.5_macd0.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3246513.1674076603,224.65131674076605,52.60653217587294,-95.02016383375229,1728,1697,31,"above_all=4.5,new_high=1.5,trend=0.75,volume=2.25,obv=0.5,relative_strength=3,macd=0.75,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1.5_trend1.5_volume1_obv1.5_relative_strength0.5_macd0.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3245024.6964368443,224.5024696436844,52.53656468109082,-100.0,1737,1705,32,"above_all=4.5,new_high=2.25,trend=2.25,volume=1.5,obv=1.5,relative_strength=1,macd=0.75,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1_trend0.5_volume1.5_obv1_relative_strength1.5_macd0.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3241994.839256955,224.19948392569546,52.394142342609975,-95.04184809554772,1725,1694,31,"above_all=4.5,new_high=1.5,trend=0.75,volume=2.25,obv=1,relative_strength=3,macd=0.75,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1_trend0.5_volume0.5_obv1_relative_strength1.5_macd1.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3241937.400930216,224.19374009302163,52.39144238009461,-91.60369536630537,1691,1660,31,"above_all=4.5,new_high=1.5,trend=0.75,volume=0.75,obv=1,relative_strength=3,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend1.5_volume1.5_obv0.5_relative_strength1_macd1.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3241604.070945491,224.1604070945491,52.37577377491236,-100.0,1822,1784,38,"above_all=4.5,new_high=0.75,trend=2.25,volume=2.25,obv=0.5,relative_strength=2,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1.5_trend1.5_volume1_obv0.5_relative_strength0.5_macd1,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3237532.856437344,223.7532856437344,52.18440109419458,-98.90539330844862,1759,1724,35,"above_all=4.5,new_high=2.25,trend=2.25,volume=1.5,obv=0.5,relative_strength=1,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1_trend1_volume1_obv0.5_relative_strength0.5_macd1,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3235843.9970941623,223.58439970941623,52.10501408591652,-100.0,1767,1732,35,"above_all=4.5,new_high=1.5,trend=1.5,volume=1.5,obv=0.5,relative_strength=1,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1_obv1_relative_strength1_macd1.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3234663.4428919647,223.46634428919648,52.04952061536734,-95.25447686129095,1785,1751,34,"above_all=4.5,new_high=0.75,trend=0.75,volume=1.5,obv=1,relative_strength=2,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1.5_obv0.5_relative_strength1_macd0.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3234039.6225649337,223.4039622564934,52.02019713756207,-98.2056891495291,1812,1778,34,"above_all=4.5,new_high=0.75,trend=0.75,volume=2.25,obv=0.5,relative_strength=2,macd=0.75,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend1_volume1.5_obv1_relative_strength1_macd1.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3232348.990520121,223.2348990520121,51.94072680116104,-100.0,1834,1796,38,"above_all=4.5,new_high=0.75,trend=1.5,volume=2.25,obv=1,relative_strength=2,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1.5_obv0.5_relative_strength1_macd1,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3231578.5691791647,223.15785691791646,51.90451215390874,-100.0,1815,1782,33,"above_all=4.5,new_high=0.75,trend=0.75,volume=2.25,obv=0.5,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1_trend1_volume1.5_obv1_relative_strength0.5_macd1.5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3229961.8911838345,222.99618911838346,51.82851812283897,-100.0,1796,1758,38,"above_all=4.5,new_high=1.5,trend=1.5,volume=2.25,obv=1,relative_strength=1,macd=2.25,target=2,trust=2,foreign=1"
