label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,weights
grid_above_all1.5_new_high0.5_trend0.5_volume1.5_obv0.5_relative_strength1.5_macd1,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3334194.2671632925,233.41942671632924,56.72810794243832,-95.28631879992734,1756,1724,32,"above_all=4.5,new_high=0.75,trend=0.75,volume=2.25,obv=0.5,relative_strength=3,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1.5_obv1_relative_strength1.5_macd1,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3316609.0945535763,231.66090945535763,55.90149419107257,-99.60456449250503,1804,1772,32,"above_all=4.5,new_high=0.75,trend=0.75,volume=2.25,obv=1,relative_strength=3,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1_obv1_relative_strength1.5_macd1.5,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3294827.0268869693,229.48270268869692,54.877599966886905,-95.26854864812105,1725,1694,31,"above_all=4.5,new_high=0.75,trend=0.75,volume=1.5,obv=1,relative_strength=3,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1_trend0.5_volume1_obv0.5_relative_strength1.5_macd1,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3286403.351635209,228.6403351635209,54.481634231736976,-95.67287676177378,1715,1684,31,"above_all=4.5,new_high=1.5,trend=0.75,volume=1.5,obv=0.5,relative_strength=3,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1_new_high0.5_trend0.5_volume1_obv1_relative_strength1_macd1.5,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3277637.1753375153,227.7637175337515,54.069568792551806,-93.46152663747229,1639,1611,28,"above_all=3,new_high=0.75,trend=0.75,volume=1.5,obv=1,relative_strength=2,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1_obv1_relative_strength1.5_macd1,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3268759.3777713026,226.87593777713025,53.65225645147087,-99.79090598852456,1891,1843,48,"above_all=4.5,new_high=0.75,trend=0.75,volume=1.5,obv=1,relative_strength=3,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1_obv0.5_relative_strength1.5_macd1.5,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3268580.957228116,226.85809572281164,53.64386956339209,-95.25003236868098,1723,1692,31,"above_all=4.5,new_high=0.75,trend=0.75,volume=1.5,obv=0.5,relative_strength=3,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1.5_obv0.5_relative_strength1.5_macd1.5,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3249703.05150397,224.97030515039697,52.75648922230043,-99.59800338432981,1836,1801,35,"above_all=4.5,new_high=0.75,trend=0.75,volume=2.25,obv=0.5,relative_strength=3,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend1_volume1.5_obv0.5_relative_strength1.5_macd1.5,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3245543.428332951,224.5543428332951,52.560960762615935,-99.59895013061482,1787,1756,31,"above_all=4.5,new_high=0.75,trend=1.5,volume=2.25,obv=0.5,relative_strength=3,macd=2.25,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1_obv0.5_relative_strength1.5_macd1,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3244583.0774596496,224.458307745965,52.51581822943612,-100.0,1884,1836,48,"above_all=4.5,new_high=0.75,trend=0.75,volume=1.5,obv=0.5,relative_strength=3,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume0.5_obv0.5_relative_strength1_macd1,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3241582.7690184647,224.15827690184648,52.374784855987635,-95.25735730505833,1709,1678,31,"above_all=4.5,new_high=0.75,trend=0.75,volume=0.75,obv=0.5,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high0.5_trend0.5_volume1_obv0.5_relative_strength1_macd0.5,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3237968.9645034866,223.79689645034867,52.20491330720465,-99.1677596491671,1737,1705,32,"above_all=4.5,new_high=0.75,trend=0.75,volume=1.5,obv=0.5,relative_strength=2,macd=0.75,target=2,trust=2,foreign=1"
grid_above_all1.5_new_high1_trend0.5_volume1_obv1_relative_strength1.5_macd1,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3237768.91604849,223.776891604849,52.195509771196804,-95.2924235223195,1692,1661,31,"above_all=4.5,new_high=1.5,trend=0.75,volume=1.5,obv=1,relative_strength=3,macd=1.5,target=2,trust=2,foreign=1"
