label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,weights
slope_ma5_up0.5_ma20_up0_ma60_up0.75_ma120_up0.5_ma240_up0,2021-01-04,2021-12-30,243,1219731.5466290216,21.97315466290217,1399379.258054536,39.93792580545361,14.728463154208615,-14.579280146363349,1133,1104,29,"above_all=3,new_high=1.5,trend=1.5,volume=1.5,obv=1,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1,ma5_up=0.5,ma60_up=0.75,ma120_up=0.5"
slope_ma5_up1_ma20_up1.5_ma60_up0.75_ma120_up0_ma240_up0,2021-01-04,2021-12-30,243,1219731.5466290216,21.97315466290217,1392278.8137862985,39.227881378629846,14.14633143121915,-14.296949753387223,1192,1162,30,"above_all=3,new_high=1.5,trend=1.5,volume=1.5,obv=1,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1,ma5_up=1,ma20_up=1.5,ma60_up=0.75"
slope_ma5_up0.5_ma20_up0.5_ma60_up0.75_ma120_up0_ma240_up0,2021-01-04,2021-12-30,243,1219731.5466290216,21.97315466290217,1388999.9148288222,38.899991482882236,13.877510069130249,-14.554517814388412,1122,1093,29,"above_all=3,new_high=1.5,trend=1.5,volume=1.5,obv=1,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1,ma5_up=0.5,ma20_up=0.5,ma60_up=0.75"
slope_ma5_up0.5_ma20_up1_ma60_up0.75_ma120_up0_ma240_up0,2021-01-04,2021-12-30,243,1219731.5466290216,21.97315466290217,1388337.8794663067,38.83378794663066,13.823232932136854,-14.386076146277183,1188,1159,29,"above_all=3,new_high=1.5,trend=1.5,volume=1.5,obv=1,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1,ma5_up=0.5,ma20_up=1,ma60_up=0.75"
slope_ma5_up1.5_ma20_up1_ma60_up1.5_ma120_up1.5_ma240_up0.5,2021-01-04,2021-12-30,243,1219731.5466290216,21.97315466290217,1385222.6672839576,38.52226672839576,13.567831471794323,-14.753180516353904,1314,1285,29,"above_all=3,new_high=1.5,trend=1.5,volume=1.5,obv=1,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1,ma5_up=1.5,ma20_up=1,ma60_up=1.5,ma120_up=1.5,ma240_up=0.5"
slope_ma5_up1_ma20_up0.5_ma60_up0.75_ma120_up0_ma240_up0.5,2021-01-04,2021-12-30,243,1219731.5466290216,21.97315466290217,1383199.0147529051,38.31990147529052,13.401921806126872,-14.243995901260377,1194,1163,31,"above_all=3,new_high=1.5,trend=1.5,volume=1.5,obv=1,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1,ma5_up=1,ma20_up=0.5,ma60_up=0.75,ma240_up=0.5"
slope_ma5_up1_ma20_up1_ma60_up0.75_ma120_up0_ma240_up0,2021-01-04,2021-12-30,243,1219731.5466290216,21.97315466290217,1382169.6469626178,38.21696469626177,13.317528826939595,-14.233912817303818,1185,1155,30,"above_all=3,new_high=1.5,trend=1.5,volume=1.5,obv=1,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1,ma5_up=1,ma20_up=1,ma60_up=0.75"
slope_ma5_up1_ma20_up0.5_ma60_up1.5_ma120_up1.5_ma240_up1.5,2021-01-04,2021-12-30,243,1219731.5466290216,21.97315466290217,1380311.22487409,38.031122487408986,13.165165620981378,-14.992353103161227,1319,1289,30,"above_all=3,new_high=1.5,trend=1.5,volume=1.5,obv=1,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1,ma5_up=1,ma20_up=0.5,ma60_up=1.5,ma120_up=1.5,ma240_up=1.5"
slope_ma5_up0_ma20_up0_ma60_up0.75_ma120_up0.5_ma240_up0.5,2021-01-04,2021-12-30,243,1219731.5466290216,21.97315466290217,1379625.2457308513,37.96252457308513,13.108925447056663,-14.599282126577616,1139,1110,29,"above_all=3,new_high=1.5,trend=1.5,volume=1.5,obv=1,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1,ma60_up=0.75,ma120_up=0.5,ma240_up=0.5"
slope_ma5_up0.5_ma20_up1_ma60_up0.75_ma120_up0_ma240_up0.5,2021-01-04,2021-12-30,243,1219731.5466290216,21.97315466290217,1377465.6724810544,37.746567248105436,12.931872286812895,-14.387543147430748,1201,1173,28,"above_all=3,new_high=1.5,trend=1.5,volume=1.5,obv=1,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1,ma5_up=0.5,ma20_up=1,ma60_up=0.75,ma240_up=0.5"
slope_ma5_up0.5_ma20_up0.5_ma60_up0.75_ma120_up0_ma240_up1,2021-01-04,2021-12-30,243,1219731.5466290216,21.97315466290217,1375730.9214838438,37.573092148384376,12.789648286621635,-14.395280266959043,1206,1177,29,"above_all=3,new_high=1.5,trend=1.5,volume=1.5,obv=1,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1,ma5_up=0.5,ma20_up=0.5,ma60_up=0.75,ma240_up=1"
slope_ma5_up1.5_ma20_up1_ma60_up0.75_ma120_up0_ma240_up0.5,2021-01-04,2021-12-30,243,1219731.5466290216,21.97315466290217,1374412.6866820257,37.44126866820257,12.68157247227859,-14.44277597842193,1206,1178,28,"above_all=3,new_high=1.5,trend=1.5,volume=1.5,obv=1,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1,ma5_up=1.5,ma20_up=1,ma60_up=0.75,ma240_up=0.5"
slope_ma5_up1.5_ma20_up0.5_ma60_up0.75_ma120_up0_ma240_up0.5,2021-01-04,2021-12-30,243,1219731.5466290216,21.97315466290217,1374329.9418222702,37.432994182227006,12.674788613979281,-14.333507427925396,1203,1175,28,"above_all=3,new_high=1.5,trend=1.5,volume=1.5,obv=1,relative_strength=2,macd=1.5,target=2,trust=2,foreign=1,ma5_up=1.5,ma20_up=0.5,ma60_up=0.75,ma240_up=0.5"
