symbol,date,yoy,yoy_positive,turned_positive,fwd20,excess20,fwd60,excess60
1301.TW,2018-01-08,0.0687,True,False,0.0101,-0.0096,0.0804,0.0766
1301.TW,2018-01-25,-0.0013,False,False,-0.0049,0.0479,0.0345,0.1084
1301.TW,2018-02-21,0.2937,True,True,0.0,-0.0252,0.0577,0.0595
1301.TW,2018-03-12,-0.0571,False,False,0.029,0.0486,0.0483,0.0673
1301.TW,2018-03-19,-0.0571,False,False,0.0243,0.0386,0.0291,0.0518
1301.TW,2018-03-27,-0.0571,False,False,-0.0048,0.0456,0.0476,0.08
1301.TW,2018-04-09,-0.0571,False,False,0.0048,0.0315,0.0857,0.0954
1301.TW,2018-04-20,0.1597,True,True,0.0563,0.0402,0.0586,0.0363
1301.TW,2018-05-02,0.1597,True,True,0.0284,0.0158,0.1085,0.0291
1301.TW,2018-05-07,0.1597,True,True,0.0474,0.0084,0.1235,0.0385
1301.TW,2018-06-04,0.1819,True,False,0.0226,0.0402,0.087,0.0341
1301.TW,2018-06-22,0.2513,True,False,0.0344,-0.0088,0.0777,0.0029
1301.TW,2018-06-29,0.2513,True,False,0.0349,-0.0261,0.1004,0.0253
1301.TW,2018-07-13,0.1455,True,False,0.0045,-0.0322,0.0136,0.0095
1301.TW,2018-07-18,0.1455,True,False,0.0046,-0.0122,-0.023,0.005
1301.TW,2018-07-23,0.1455,True,False,0.0046,0.0117,-0.0507,0.0102
1301.TW,2018-08-06,0.1455,True,False,-0.0133,-0.0221,-0.1022,-0.0071
1301.TW,2018-08-08,0.1455,True,False,-0.0134,-0.0233,-0.0982,-0.0112
1301.TW,2018-08-23,0.1485,True,False,0.0,-0.01,-0.1013,-0.0031
1301.TW,2018-09-04,0.1485,True,False,0.0044,0.0165,-0.1156,-0.0012
1301.TW,2018-09-13,0.047,True,False,-0.08,-0.0123,-0.1156,0.008
1301.TW,2018-09-27,0.047,True,False,-0.1607,-0.0239,-0.1573,-0.0182
1301.TW,2018-11-05,0.0276,True,False,-0.0097,-0.0167,-0.0097,0.0107
1301.TW,2019-02-22,0.018,True,False,0.0385,0.0164,0.0433,0.0381
1301.TW,2019-03-07,0.018,True,False,0.0237,-0.0317,0.0332,0.0149
1301.TW,2019-03-12,0.0499,True,False,0.0526,0.0021,0.0622,0.0389
1301.TW,2019-03-15,0.0499,True,False,0.0332,-0.0248,0.0616,0.0429
1301.TW,2019-03-26,0.0499,True,False,0.0231,-0.0372,0.0602,0.0278
1301.TW,2019-04-09,0.0499,True,False,0.0,-0.0141,0.005,-0.0023
1301.TW,2019-04-17,-0.1054,False,False,-0.0046,0.0401,0.0048,0.0048
1301.TW,2019-04-23,-0.1054,False,False,0.0046,0.0606,-0.0238,-0.0196
1301.TW,2019-05-20,-0.0177,False,False,0.0227,0.0138,-0.1039,-0.1395
