label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,case,entry,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,783046.2901281271,-21.69537098718729,-4.031892344590682,-29.358930345486577,124,108,16,us_bear_2022,new_above_all_ma_and_score>=50%,108,16.666666666666664,-5.7683501672941695,-4.746963143129462,31.185185185185187
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,760768.2555947854,-23.923174440521457,-6.762230056933117,-30.28350987539922,101,87,14,us_bear_2022,new_above_all_ma_and_score>=50%,87,14.942528735632186,-7.684131413515765,-7.575309527240126,45.64367816091954
market_break_ma10_sell_lowest_50pct,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,747194.3521077969,-25.280564789220307,-8.425812207268436,-31.15077657010803,289,285,4,us_bear_2022,new_above_all_ma_and_score>=50%,285,34.73684210526316,-1.3784239090908268,-1.0336609884387893,7.996491228070176
ma5_and_market_break_ma10,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,737177.0523598621,-26.28229476401379,-9.653506294764858,-31.698688987823886,292,288,4,us_bear_2022,new_above_all_ma_and_score>=50%,288,27.77777777777778,-1.5610666908929178,-1.5379797803802608,8.190972222222221
baseline_ma5,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,726552.1637519776,-27.34478362480224,-10.955664885646321,-30.877324557711017,409,405,4,us_bear_2022,new_above_all_ma_and_score>=50%,405,28.14814814814815,-1.183231109801332,-1.1648833717493812,4.812345679012346
penalty_adjusted_score_lt_20pct,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,725250.8095835279,-27.474919041647215,-11.115155452819769,-31.58314447144892,375,371,4,us_bear_2022,new_above_all_ma_and_score>=50%,371,28.57142857142857,-1.2471639182780028,-1.203935131411138,5.3584905660377355
ma5_score_lt_20pct,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,722603.2887649789,-27.739671123502106,-11.439628687847636,-34.559417294761964,218,213,5,us_bear_2022,new_above_all_ma_and_score>=50%,213,29.577464788732392,-2.6506940094681077,-2.547843390393001,15.624413145539906
ma5_score_lt_10pct,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,705524.4642584799,-29.447553574152007,-13.53276480193274,-35.01825122502623,163,150,13,us_bear_2022,new_above_all_ma_and_score>=50%,150,28.000000000000004,-4.242682136613946,-4.686772471229029,27.18
ma5_and_break_prev2_low,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,704781.7794977777,-29.521822050222234,-13.623786305983842,-33.009619896886235,343,338,5,us_bear_2022,new_above_all_ma_and_score>=50%,338,25.14792899408284,-1.6382353276499875,-1.8307338173217391,6.689349112426036
break_prev2_low,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,703176.189410886,-29.6823810589114,-13.820563232522964,-33.12797023091139,348,343,5,us_bear_2022,new_above_all_ma_and_score>=50%,343,25.072886297376094,-1.5925042314947846,-1.8298041976881896,6.463556851311953
penalty_adjusted_score_lt_10pct,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,701924.7503414671,-29.807524965853293,-13.973936335559479,-33.61840108148756,316,312,4,us_bear_2022,new_above_all_ma_and_score>=50%,312,26.923076923076923,-1.6199517628440216,-1.7688320069071617,7.294871794871795
market_break_ma10_score_lt_20pct,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,698272.7204585258,-30.172727954147415,-14.421519577298014,-34.769666996301154,176,171,5,us_bear_2022,new_above_all_ma_and_score>=50%,171,24.561403508771928,-3.499029636693369,-4.185736357276104,18.871345029239766
break_prev5_low,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,697218.2508882928,-30.27817491117072,-14.550752613085615,-34.39345075038227,210,203,7,us_bear_2022,new_above_all_ma_and_score>=50%,203,24.137931034482758,-2.8727643782091143,-3.600374676861029,14.48768472906404
ma5_and_break_prev5_low,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,697218.2508882928,-30.27817491117072,-14.550752613085615,-34.39345075038227,210,203,7,us_bear_2022,new_above_all_ma_and_score>=50%,203,24.137931034482758,-2.8727643782091143,-3.600374676861029,14.48768472906404
break_ma10,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,692798.2002162179,-30.720179978378216,-15.092462476330915,-33.85141137752235,324,320,4,us_bear_2022,new_above_all_ma_and_score>=50%,320,25.624999999999996,-1.6563317166513658,-1.8182857315068024,7.190625
break_prev3_low,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,691367.5344518396,-30.863246554816037,-15.267801134882376,-33.93800203018923,272,266,6,us_bear_2022,new_above_all_ma_and_score>=50%,266,25.18796992481203,-2.0786805826993136,-2.7889869148625177,9.853383458646617
ma5_and_break_prev3_low,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,691367.5344518396,-30.863246554816037,-15.267801134882376,-33.93800203018923,272,266,6,us_bear_2022,new_above_all_ma_and_score>=50%,266,25.18796992481203,-2.0786805826993136,-2.7889869148625177,9.853383458646617
ma5_down_vol_1_5x,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,675736.0895282784,-32.42639104717215,-17.183550188477227,-33.794546172391314,136,129,7,us_bear_2022,new_above_all_ma_and_score>=50%,129,24.8062015503876,-5.947353738264753,-4.729465452536474,36.58139534883721
break_ma20,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,668608.8822487436,-33.13911177512564,-18.057042093244323,-36.555988557529204,222,218,4,us_bear_2022,new_above_all_ma_and_score>=50%,218,21.55963302752294,-2.8054833826222194,-3.0026159897051876,12.995412844036696
ma5_down_vol_1_3x,2022-01-03,2022-12-30,251,815944.2853034,-18.405571469659996,656503.5916050557,-34.34964083949442,-19.540634890169983,-35.847505101072684,173,166,7,us_bear_2022,new_above_all_ma_and_score>=50%,166,26.506024096385545,-4.688764741557296,-3.654446004769812,23.933734939759034
market_break_ma10_score_lt_20pct,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2422105.6604708284,142.21056604708284,86.47657702373547,-28.64567256274163,344,313,31,us_bull_2025_2026,new_above_all_ma_and_score>=50%,313,43.45047923322684,3.883195071240924,-1.4981042207236617,29.69968051118211
ma5_down_vol_1_5x,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2416102.786486494,141.61027864864937,86.01441907118523,-31.12004024171019,317,283,34,us_bull_2025_2026,new_above_all_ma_and_score>=50%,283,51.23674911660777,5.5755709891221095,0.3912176309779358,40.10600706713781
break_prev5_low,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2368507.4279752756,136.85074279752754,82.35007870724577,-26.159833169208458,506,473,33,us_bull_2025_2026,new_above_all_ma_and_score>=50%,473,42.28329809725159,3.1114765782305787,-1.5336673775916854,20.211416490486258
ma5_and_break_prev5_low,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2368507.4279752756,136.85074279752754,82.35007870724577,-26.159833169208458,506,473,33,us_bull_2025_2026,new_above_all_ma_and_score>=50%,473,42.28329809725159,3.1114765782305787,-1.5336673775916854,20.211416490486258
break_ma20,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2342620.4229024826,134.26204229024825,80.35705248458622,-27.289342248633275,479,448,31,us_bull_2025_2026,new_above_all_ma_and_score>=50%,448,36.607142857142854,2.6831824287621933,-1.9075893493634477,19.9375
market_break_ma10_sell_lowest_50pct,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2329901.346846253,132.9901346846253,79.37781784400941,-22.923892367249167,650,619,31,us_bull_2025_2026,new_above_all_ma_and_score>=50%,619,44.74959612277868,1.9808263315627568,-0.4836720727923627,12.352180936995154
